name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,countries,missionStatement,missionStatementLink,organizationDescription,source_doc
AG CARE Ghana,[],,['agcare-ghana.org'],,,,,,,,Oto Ofori Ln.,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Bone Marrow Transplantation Ghana,['+233557596325' '+233543765067' '+233203990141'],,['bmtghana.org'],,,,,,,,19 Seventh Avenue Ridge West,,,Accra,Accra North,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Br. Tarcisius Prosthetics & Orthotics Training College,[],,[],,,,,,,,,,,Nsawam,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Breast Care International,[],"[""breastcareinternational2002@gmail.com"",""info@breastcareinternational.org"",""palsa@breastcareinternational.org""]",['breastcancerhelp.net' 'bciamerica.org' 'breastcareinternational.org'],,,,,,,,Peace And Love Hospital Avenue,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,,CSV Smart Merge v1
"Catholic Health Service Trust, Ghana",[],headoffice@chstgh.org,['chstgh.org'],,,,,,,,"Centenary House, Shiashie",,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
CHAG,['+233547330160' '+233547719723'],st.vincent_clinic@yahoo.com,[],,,,,,,,,,,Drobonso,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Cheerful Hearts Foundation,[],,['cheerfulheartsfoundation.org'],,,,,,,,,,,Unknown,Central Region,,Ghana,GH,,,['Ghana'],"CHF was founded to stop child labour and trafficking by educating and empowering rural citizens in the Central Region of Ghana through human rights, public health and education initiatives",,,CSV Smart Merge v1
Cheerful Hearts Foundation,[],,['cheerfulheartsfoundation.org'],2009.0,,,,,,,WS 396 Walantu South,,,Kasoa,Central Region,,Ghana,GH,,,['Ghana'],"to educate and empower rural citizens through human rights, public health, and education initiatives so they can sustain an improved standard of living.",,,CSV Smart Merge v1
Christian Health Association of Ghana,['+233302777815' '+233561228637'],chag@chag.org.gh,['chag.org.gh'],,,,,,,,21 Jubilee Well Street,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],To promote the healing ministry of Christ and be a reliable partner in the Health Sector in providing the health needs of the people in Ghana in fulfillment of Christ’s mandate to heal the sick.,,,CSV Smart Merge v1
Christian Health Association of Ghana,['+233593641985' '+233248712986' '+233244599448'],gemhospital10@yahoo.com,[],,,,,,,,PO Box 1950 KNUST,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,,CSV Smart Merge v1
Church of God Health Services,[],,[],,,,,,,,APAASO,,,Apaaso,Ashanti Region,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Comboni Centre Onlus,[],info@combonicentreonlus.org,['combonicentreonlus.org'],,,,,,,,"P.O. BOX SK 95 - SOGAKOFE ( V/r) Sogakope, Ghana",,,Sogakope,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Datwell_Medical,['+233592053234'],datwell.medical@gmail.com,[],,,,,,,,"Ritz, Adenta (Opposite Baron Warehouse, near Presby Church)",,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Diabetes Youth Care,['+233598863624' '+233505281424' '+233503979411'],support@diabetesyouthcare.org,['diabetesyouthcare.org'],,,,,,,,"GL 258, Asofaa Off Nsawam Rd",,,Osu,Accra East,,Ghana,GH,,,['Ghana'],Diabetes education and medical support group to improve the quality of life of young people and families affected by diabetes.,,,CSV Smart Merge v1
Diabetes Youth Care,['+233503979411'],support@diabetesyouthcare.org,['diabetesyouthcare.org'],,,,,,,,"GL 258, Asofaa Off Nsawam Rd",,,Osu – Accra East,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],"Diabetes YouthCare provides education and medical support to encourage personal growth, knowledge acquisition and independence.",,,CSV Smart Merge v1
Digestive Diseases Aid,[],,[],,,,,,,,,,,Unknown,Ghana,,Ghana,GH,,,['Ghana'],Provide effective treatment for digestive diseases in Ghana.,,,CSV Smart Merge v1
